Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Available_On,Subscription_Required,Release_Date,Price
Baby,2015,"Action, Crime, Thriller",159 min,8.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Hulu,False,2015-08-20,0.0
Warrior,2011,"Action, Drama, Sport",140 min,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Netflix,False,2023-01-28,0.0
Il conformista,1970,Drama,113 min,8.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Netflix,False,2017-12-14,0.0
Manchester by the Sea,2016,Drama,137 min,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Disney+,False,2025-02-08,0.0
Klaus,2019,,96 min,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Netflix,True,2017-03-27,0.0
Rope,1948,,80 min,8.0,,,False,,
Heat,1995,"Crime, Drama, Thriller",170 min,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Disney+,False,2020-09-20,0.0
The Silence of the Lambs,1991,"Crime, Drama, Thriller",118 min,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",,False,2019-06-22,0.0
Brokeback Mountain,2005,,134 min,7.7,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",,False,2019-01-06,
The Gold Rush,1925,,95 min,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,Disney+,True,2018-05-07,9.49
Central do Brasil,1998,Drama,110 min,8.0,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Disney+,True,2023-10-29,0.0
The French Connection,1971,"Action, Crime, Drama",104 min,7.7,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,Netflix,,2019-06-08,
Dom za vesanje,1988,"Comedy, Crime, Drama",,8.2,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",,False,2019-07-04,0.0
The Longest Day,1962,"Action, Drama, History",,7.8,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",,False,2020-06-14,
Gangs of Wasseypur,2012,,321 min,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Hulu,True,2019-04-13,0.0
Raging Bull,1980,"Biography, Drama, Sport",129 min,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",,,2017-01-24,0.0
Pulp Fiction,1994,"Crime, Drama",154 min,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",HBO Max,False,2019-04-13,
Gravity,2013,"Drama, Sci-Fi, Thriller",91 min,7.7,Two astronauts work together to survive after an accident leaves them stranded in space.,,False,2015-10-07,
Before Midnight,2013,"Drama, Romance",109 min,,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Amazon Prime,True,,0.0
The Shining,1980,,146 min,,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Disney+,False,2018-05-21,10.51
Moneyball,2011,"Biography, Drama, Sport",133 min,,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Disney+,False,2016-05-20,17.58
A Little Princess,1995,"Drama, Family, Fantasy",97 min,7.7,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,Amazon Prime,False,2021-04-29,0.0
Munna Bhai M.B.B.S.,2003,,156 min,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,HBO Max,False,2021-10-02,0.0
Shutter Island,2010,,138 min,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",,True,2022-10-07,5.76
Das Experiment,2001,"Drama, Thriller",120 min,,,Disney+,True,2021-04-05,9.12
Million Dollar Baby,2004,"Drama, Sport",,,A determined woman works with a hardened boxing trainer to become a professional.,,False,2023-11-25,14.23
Kahaani,2012,"Mystery, Thriller",122 min,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Netflix,True,2016-05-01,0.0
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Hulu,False,2018-05-02,0.0
C.R.A.Z.Y.,2005,"Comedy, Drama",129 min,7.9,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",,,2020-02-04,3.5
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Disney+,False,2018-08-12,
Giù la testa,1971,"Drama, War, Western",157 min,7.6,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,,True,2016-03-12,14.66
3:10 to Yuma,2007,"Action, Crime, Drama",122 min,7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,Hulu,True,2015-11-02,0.0
Det sjunde inseglet,1957,"Drama, Fantasy, History",96 min,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",,False,2025-02-05,3.67
The Usual Suspects,1995,"Crime, Mystery, Thriller",106 min,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Hulu,False,2017-05-03,0.0
Badlands,1973,"Action, Crime, Drama",94 min,,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,Hulu,True,2016-03-15,
Scarface,1983,"Crime, Drama",170 min,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",,,,4.79
Le passé,2013,"Drama, Mystery",130 min,7.8,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",Disney+,False,2020-04-11,5.47
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Hulu,,2016-04-28,0.0
Akira,1988,"Animation, Action, Sci-Fi",124 min,8.0,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Amazon Prime,,2022-12-14,0.0
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",,8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Hulu,False,2023-11-05,13.95
Frost/Nixon,2008,"Biography, Drama, History",122 min,7.7,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,Netflix,True,2016-11-01,4.34
From Here to Eternity,1953,,118 min,7.6,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",Disney+,,2015-09-15,0.0
Saving Private Ryan,1998,"Drama, War",169 min,8.6,,HBO Max,False,2022-08-18,11.05
Call Me by Your Name,2017,"Drama, Romance",132 min,7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",,True,,1.53
Le charme discret de la bourgeoisie,1972,Comedy,,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Hulu,,2017-08-07,0.0
A Christmas Story,1983,"Comedy, Family",,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Disney+,True,2017-10-23,6.52
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",,7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Hulu,True,2015-06-21,0.0
La planète sauvage,1973,"Animation, Sci-Fi",72 min,7.8,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",,True,2023-04-19,0.0
Dead Man's Shoes,2004,"Crime, Drama, Thriller",,7.6,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,HBO Max,,2025-03-24,0.0
The Imitation Game,2014,"Biography, Drama, Thriller",114 min,,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",HBO Max,False,2019-07-12,0.0
Modern Times,1936,"Comedy, Drama, Family",87 min,,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,HBO Max,True,2017-03-21,0.0
Ying xiong,2002,"Action, Adventure, History",,7.9,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",Netflix,False,,0.0
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Netflix,False,2024-01-26,7.62
The Secret of Kells,2009,"Animation, Adventure, Family",71 min,,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",,,2021-06-22,17.11
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",,True,2022-09-20,0.0
Ba wang bie ji,1993,"Drama, Music, Romance",171 min,8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Amazon Prime,True,2021-12-26,0.0
Short Cuts,1993,"Comedy, Drama",188 min,7.7,The day-to-day lives of several suburban Los Angeles residents.,HBO Max,True,2017-08-03,0.0
Key Largo,1948,"Action, Crime, Drama",100 min,7.8,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",HBO Max,True,2025-02-08,6.54
The Color Purple,1985,Drama,154 min,7.8,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,,False,,9.69
Empire of the Sun,1987,"Action, Drama, History",153 min,,A young English boy struggles to survive under Japanese occupation during World War II.,Hulu,False,2020-04-13,
Mimi wo sumaseba,1995,"Animation, Drama, Family",,7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Netflix,False,2024-05-14,0.0
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,,True,2016-02-19,0.0
Hamilton,2020,"Biography, Drama, History",160 min,8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",HBO Max,True,2023-01-06,2.8
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,7.8,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",,True,2015-05-30,
Amour,2012,"Drama, Romance",127 min,7.9,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",Netflix,True,2020-11-10,0.0
Nosferatu,1922,"Fantasy, Horror",94 min,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Disney+,,2015-06-21,0.0
Vivre sa vie: Film en douze tableaux,1962,Drama,80 min,8.0,,HBO Max,False,2018-08-24,0.0
Ratatouille,2007,"Animation, Adventure, Comedy",111 min,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,HBO Max,,2022-11-13,0.0
The Great Dictator,1940,"Comedy, Drama, War",125 min,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,,True,,0.0
Coco,2017,"Animation, Adventure, Family",105 min,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",HBO Max,True,2022-05-24,0.0
Diarios de motocicleta,2004,"Adventure, Biography, Drama",126 min,7.8,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,Netflix,,2025-01-14,0.0
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",95 min,8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,,False,,
Viskningar och rop,1972,Drama,,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Amazon Prime,False,2018-10-09,0.0
The Pursuit of Happyness,2006,"Biography, Drama",117 min,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,,False,2019-08-18,0.0
Slumdog Millionaire,2008,"Drama, Romance",,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Amazon Prime,,2025-02-24,0.0
The Maltese Falcon,1941,"Film-Noir, Mystery",100 min,8.0,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",,True,2022-03-06,0.0
The Deer Hunter,1978,"Drama, War",,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,HBO Max,False,2020-11-03,0.0
"Il buono, il brutto, il cattivo",1966,Western,161 min,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Hulu,True,2019-11-03,0.0
Judgment at Nuremberg,1961,"Drama, War",179 min,,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Netflix,True,2022-12-07,0.0
Casino Royale,2006,"Action, Adventure, Thriller",144 min,8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",,True,2015-12-22,16.22
The Florida Project,2017,Drama,,7.6,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Netflix,False,,0.0
Taken,2008,"Action, Thriller",90 min,7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",HBO Max,False,2018-11-27,17.93
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",120 min,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Netflix,True,2025-01-28,0.0
Forushande,2016,Drama,124 min,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",HBO Max,True,2023-12-03,0.0
My Cousin Vinny,1992,"Comedy, Crime",120 min,7.6,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",,True,2022-02-11,0.0
Hana-bi,1997,"Crime, Drama, Romance",,,,,True,2017-08-24,0.0
The Lion in Winter,1968,"Biography, Drama, History",134 min,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",Hulu,True,2016-01-25,15.33
Rogue One,2016,"Action, Adventure, Sci-Fi",133 min,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,HBO Max,True,2023-12-10,7.49
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",90 min,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Netflix,True,,0.0
The Message,1976,"Biography, Drama, History",177 min,,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,,True,2024-06-23,0.0
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",,7.8,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,,,,
Glory,1989,"Biography, Drama, History",122 min,7.8,,Disney+,True,,6.74
Little Women,2019,"Drama, Romance",135 min,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Hulu,False,2021-12-23,0.0
The African Queen,1951,"Adventure, Drama, Romance",105 min,7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",Hulu,,2016-04-17,0.0
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",129 min,8.0,,,False,2020-11-30,0.0
Eskiya,1996,,128 min,8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",HBO Max,True,2016-09-30,
The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Netflix,True,2019-09-20,3.36
Serenity,2005,"Action, Adventure, Sci-Fi",,7.8,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,,False,2020-06-24,0.0
Victoria,2015,,138 min,7.6,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Disney+,False,2024-05-10,0.0
Boyz n the Hood,1991,"Crime, Drama",,7.8,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",Hulu,True,2023-02-06,0.0
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,,Netflix,True,,0.0
Kagemusha,1980,,180 min,8.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,HBO Max,True,2017-01-19,0.0
Apocalypse Now,1979,,147 min,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,,False,2020-10-02,0.0
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136 min,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Hulu,False,2016-02-24,0.0
Moonrise Kingdom,2012,"Comedy, Drama, Romance",94 min,7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Disney+,,2017-03-01,
Lost Highway,1997,"Mystery, Thriller",134 min,7.6,,HBO Max,True,2017-03-26,2.41
Knockin' on Heaven's Door,1997,,,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Hulu,False,2019-01-16,0.0
Full Metal Jacket,1987,"Drama, War",116 min,8.3,,Netflix,False,2024-06-13,0.0
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",,,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Disney+,,2023-05-11,
Young Frankenstein,1974,Comedy,106 min,8.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",,True,2024-07-13,0.0
My Left Foot: The Story of Christy Brown,1989,"Biography, Drama",103 min,7.9,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",,,,0.0
The Grapes of Wrath,1940,"Drama, History",129 min,8.0,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",,False,2018-06-13,0.0
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama",125 min,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,,,2023-04-07,
Babam ve Oglum,2005,"Drama, Family",112 min,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,,False,2019-12-19,0.0
Watchmen,2009,,162 min,7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Disney+,False,2017-03-07,12.99
Jodaeiye Nader az Simin,2011,,,,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Hulu,True,2020-09-20,0.0
Short Term 12,2013,,96 min,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,,True,2017-07-27,
Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",,,,HBO Max,False,2016-10-01,0.0
Inside Man,2006,"Crime, Drama, Mystery",,7.6,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Amazon Prime,True,2022-05-29,0.0
"Synecdoche, New York",2008,Drama,124 min,7.6,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",Hulu,True,2017-10-25,0.0
Ajeossi,2010,,119 min,7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,HBO Max,,2017-06-13,2.04
About Time,2013,"Comedy, Drama, Fantasy",123 min,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",,False,2015-05-28,0.0
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",152 min,,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Disney+,False,2023-08-29,17.0
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min,8.3,,,False,2024-02-13,0.0
Forrest Gump,1994,"Drama, Romance",142 min,8.8,,Disney+,False,2017-03-06,11.99
Groundhog Day,1993,,101 min,,A weatherman finds himself inexplicably living the same day over and over again.,,True,2023-02-09,13.92
Manhattan,1979,"Comedy, Drama, Romance",96 min,7.9,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,,False,,0.0
The Lion King,1994,"Animation, Adventure, Drama",,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Hulu,True,2022-02-13,
Léon,1994,"Action, Crime, Drama",110 min,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Amazon Prime,True,2017-05-03,0.0
The Martian,2015,"Adventure, Drama, Sci-Fi",144 min,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",HBO Max,True,2017-03-31,0.0
Unforgiven,1992,"Drama, Western",130 min,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",HBO Max,True,2022-10-09,6.36
The Fall,2006,"Adventure, Drama, Fantasy",117 min,7.9,,Netflix,False,2022-01-08,
The Invisible Man,1933,"Horror, Sci-Fi",71 min,7.7,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",,False,2016-08-16,0.0
La migliore offerta,2013,"Crime, Drama, Mystery",,7.8,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,Hulu,False,,0.0
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",101 min,,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",Disney+,True,2022-03-23,0.0
Bacheha-Ye aseman,1997,"Drama, Family, Sport",89 min,8.3,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Amazon Prime,False,2024-08-04,0.0
Planet of the Apes,1968,,,8.0,,Hulu,True,2016-08-25,
Monty Python and the Holy Grail,1975,,91 min,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",,False,2020-11-26,0.0
Les diaboliques,1955,"Crime, Drama, Horror",117 min,8.0,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,,True,2019-06-05,0.0
Dog Day Afternoon,1975,"Biography, Crime, Drama",125 min,8.0,,,True,,4.65
Sabrina,1954,"Comedy, Drama, Romance",113 min,7.7,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Hulu,True,2021-08-20,
Just Mercy,2019,"Biography, Crime, Drama",137 min,,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Netflix,False,2016-03-16,
Down by Law,1986,"Comedy, Crime, Drama",107 min,7.8,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Hulu,False,2022-06-23,15.14
Sholay,1975,"Action, Adventure, Comedy",204 min,8.2,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",HBO Max,False,2016-08-17,0.0
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",76 min,8.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",HBO Max,False,2020-06-04,0.0
La piel que habito,2011,"Drama, Horror, Thriller",120 min,7.6,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Netflix,,2023-03-02,0.0
Billy Elliot,2000,"Drama, Music",110 min,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Hulu,False,2015-07-02,
Sleepers,1996,"Crime, Drama, Thriller",147 min,7.6,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Hulu,True,2020-03-24,0.0
The Killing Fields,1984,"Biography, Drama, History",141 min,7.8,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",Disney+,False,2022-01-19,
Magnolia,1999,Drama,188 min,8.0,,Disney+,True,2016-11-17,0.0
Mulan,1998,,88 min,,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",,False,2021-03-01,
Skyfall,2012,,,7.7,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",HBO Max,False,2018-05-11,14.78
La haine,1995,"Crime, Drama",98 min,,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Netflix,True,2020-01-01,0.0
Amarcord,1973,"Comedy, Drama, Family",123 min,,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,,False,2018-04-05,0.0
Special Chabbis,2013,"Crime, Drama, Thriller",144 min,8.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,HBO Max,False,2018-05-26,0.0
Goodfellas,1990,"Biography, Crime, Drama",146 min,8.7,,Hulu,False,2018-12-07,10.41
Airlift,2016,,130 min,8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",HBO Max,,2022-12-22,12.95
Papurika,2006,"Animation, Drama, Fantasy",90 min,7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.",Disney+,False,2017-02-22,0.0
